date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,TSLA_open,TSLA_high,TSLA_low,TSLA_close,TSLA_adjclose,neg,pos,neu,compound,new_us_cases,new_us_death,new_ca_cases,new_ca_death
2020-01-01,,,,,,,,,,,,,,,0.046,0.07100000000000001,0.883,0.743,0.0,0.0,0.0,0.0
2020-01-02,74.06,75.15,73.7975,75.0875,74.573,135480400.0,74.573,0.0,0.0,84.9,86.14,84.342,86.052,86.052,0.038200000000000005,0.106,0.8554,0.9311200000000001,0.0,0.0,0.0,0.0
2020-01-03,74.2875,75.145,74.125,74.3575,73.848,146322800.0,74.2105,0.08002928836938775,-0.009722017352124688,88.1,90.8,87.384,88.602,88.602,0.064,0.0855,0.85,0.0014500000000000001,0.0,0.0,0.0,0.0
2020-01-04,,,,,,,,,,,,,,,0.0285,0.0835,0.8875000000000001,0.9726500000000001,0.0,0.0,0.0,0.0
2020-01-06,73.4475,74.99,73.1875,74.95,74.4365,118387200.0,74.28583333333333,-0.19091761502650303,0.007969071606543119,88.094,90.312,88.0,90.308,90.308,0.07266666670000001,0.1473333333,0.7793333333,0.9027000000000001,0.0,0.0,0.0,0.0
2020-01-07,74.96,75.225,74.37,74.5975,74.0864,108872000.0,74.235975,-0.08037355389771868,-0.00470333774425178,92.28,94.326,90.672,93.812,93.812,0.017,0.0385,0.9445,0.6928500000000001,0.0,0.0,0.0,0.0
2020-01-08,74.29,76.11,74.29,75.7975,75.2782,132079200.0,74.44442,0.21316040855316334,0.016086623185901875,94.74,99.698,93.646,98.428,98.428,0.04,0.13,0.8300000000000001,0.9769333333,0.0,0.0,0.0,0.0
2020-01-09,76.81,77.6075,76.55,77.4075,76.8771,170108400.0,74.84986666666666,0.28792724365380773,0.021239880868564875,99.42,99.76,94.574,96.268,96.268,0.0398571429,0.081,0.8794285714000001,0.7411857143,0.0,0.0,0.0,0.0
2020-01-10,77.65,78.1675,77.0625,77.5825,77.0509,140644800.0,75.1643,-0.17320485055411725,0.0022607512510227357,96.358,96.988,94.74,95.63,95.63,0.030571428600000002,0.06714285710000001,0.9024285714,0.7983857143,0.0,0.0,0.0,0.0
2020-01-11,,,,,,,,,,,,,,,0.029,0.025,0.9470000000000001,0.1027,0.0,0.0,0.0,0.0
2020-01-13,77.91,79.2675,77.7875,79.24,78.6971,121532000.0,75.60589999999999,-0.13589411055367848,0.02136509761728945,98.7,105.126,98.4,104.972,104.972,0.030500000000000003,0.0923333333,0.8773333333000001,0.9139666667,0.0,0.0,0.0,0.0
