date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_adjclose,neg,pos,neu,compound,new_us_cases,new_us_death,new_ca_cases,new_ca_death
2020-01-01,,,,,,,,,,,,,,,0.1115,0.046,0.8415,-0.9509500000000001,0.0,0.0,0.0,0.0
2020-01-02,84.9,86.14,84.342,86.052,86.052,47660500.0,86.052,0.0,0.0,74.06,75.15,73.7975,75.0875,74.573,0.0173333333,0.046,0.9366666667,0.5753333333,0.0,0.0,0.0,0.0
2020-01-03,88.1,90.8,87.384,88.602,88.602,88892500.0,87.327,0.8651189139853758,0.029633245014642273,74.2875,75.145,74.125,74.3575,73.848,0.0311666667,0.0468333333,0.9221666667,0.3290833333,0.0,0.0,0.0,0.0
2020-01-04,,,,,,,,,,,,,,,0.054,0.0635,0.8825000000000001,0.01115,0.0,0.0,0.0,0.0
2020-01-05,,,,,,,,,,,,,,,0.029,0.047,0.923,0.9412,0.0,0.0,0.0,0.0
2020-01-06,88.094,90.312,88.0,90.308,90.308,50665000.0,88.32066666666667,-0.43004190454762775,0.01925464436468706,73.4475,74.99,73.1875,74.95,74.4365,,,,,0.0,0.0,0.0,0.0
2020-01-07,92.28,94.326,90.672,93.812,93.812,89410500.0,89.6935,0.7647389716766999,0.0388005492315187,74.96,75.225,74.37,74.5975,74.0864,0.06225000000000001,0.08525,0.8527500000000001,0.36645000000000005,0.0,0.0,0.0,0.0
2020-01-08,94.74,99.698,93.646,98.428,98.428,155721500.0,91.4404,0.7416466746075685,0.0492047925638511,74.29,76.11,74.29,75.7975,75.2782,0.0363333333,0.0943333333,0.8693333333000001,0.7477333333,0.0,0.0,0.0,0.0
2020-01-09,99.42,99.76,94.574,96.268,96.268,142202000.0,92.245,-0.08681845474131702,-0.021944975007111765,76.81,77.6075,76.55,77.4075,76.8771,0.0444285714,0.0882857143,0.8672857143,0.5609142857,0.0,0.0,0.0,0.0
2020-01-10,96.358,96.988,94.74,95.63,95.63,64797500.0,92.72857142857143,-0.5443277872322471,-0.006627332031412362,77.65,78.1675,77.0625,77.5825,77.0509,0.037,0.124,0.84,0.9945,0.0,0.0,0.0,0.0
2020-01-11,,,,,,,,,,,,,,,0.022,0.073,0.905,0.9794,0.0,0.0,0.0,0.0
2020-01-13,98.7,105.126,98.4,104.972,104.972,132588000.0,94.259,1.0461900536286122,0.09768900972498169,77.91,79.2675,77.7875,79.24,78.6971,0.0342,0.1066,0.8592000000000001,0.9534,0.0,0.0,0.0,0.0
2020-01-14,108.852,109.482,104.98,107.584,107.584,144981000.0,95.73955555555555,0.09346999728482215,0.024882825896429612,79.175,79.3925,78.0425,78.17,77.6344,0.0925,0.0915,0.8165,0.0002,0.0,0.0,0.0,0.0
2020-01-15,105.952,107.568,103.358,103.7,103.7,86844000.0,96.5356,-0.4009973720694436,-0.036102022605591914,77.9625,78.875,77.3875,77.835,77.3017,,,,,0.0,0.0,0.0,0.0
