,ticker,date,open,high,low,close,adjclose,volume
0,AAPL,2020-06-30,90.0199966430664,91.49500274658205,90.0,91.1999969482422,91.03585815429688,140223200
1,AAPL,2020-07-01,91.27999877929688,91.83999633789062,90.97750091552734,91.02749633789062,90.8636703491211,110737200
2,AAPL,2020-07-02,91.9625015258789,92.61750030517578,90.91000366210938,91.02749633789062,90.8636703491211,114041600
3,AAPL,2020-07-06,92.5,93.94499969482422,92.46749877929688,93.4625015258789,93.2942886352539,118655600
4,AAPL,2020-07-07,93.85250091552734,94.65499877929688,93.05750274658205,93.17250061035156,93.00481414794922,112424400
5,AAPL,2020-07-08,94.18000030517578,95.375,94.08999633789062,95.34249877929688,95.17090606689452,117092000
6,AAPL,2020-07-09,96.2624969482422,96.31749725341795,94.67250061035156,95.75250244140624,95.58016967773438,125642800
7,AAPL,2020-07-10,95.33499908447266,95.9800033569336,94.70500183105469,95.91999816894531,95.74736785888672,90257200
8,AAPL,2020-07-13,97.26499938964844,99.95500183105469,95.25749969482422,95.47750091552734,95.3056640625,191649200
9,AAPL,2020-07-14,94.83999633789062,97.25499725341795,93.87750244140624,97.05750274658205,96.88282012939452,170989200
10,AAPL,2020-07-15,98.98999786376952,99.24749755859376,96.48999786376952,97.7249984741211,97.5491180419922,153198000
11,AAPL,2020-07-16,96.5625,97.40499877929688,95.90499877929688,96.52249908447266,96.3487777709961,110577600
12,AAPL,2020-07-17,96.9875030517578,97.14749908447266,95.83999633789062,96.32749938964844,96.15412902832031,92186800
13,AAPL,2020-07-20,96.4175033569336,98.5,96.0625,98.35749816894531,98.18048095703124,90318000
14,AAPL,2020-07-21,99.17250061035156,99.25,96.74250030517578,97.0,96.82542419433594,103646000
15,AAPL,2020-07-22,96.69249725341795,97.9749984741211,96.60250091552734,97.27249908447266,97.0974349975586,89001600
16,AAPL,2020-07-23,96.99749755859376,97.07749938964844,92.01000213623048,92.84500122070312,92.67790222167969,197004400
17,AAPL,2020-07-24,90.9875030517578,92.97000122070312,89.1449966430664,92.61499786376952,92.44831085205078,185438800
18,AAPL,2020-07-27,93.70999908447266,94.90499877929688,93.4800033569336,94.80999755859376,94.6393585205078,121214000
19,AAPL,2020-07-28,94.36750030517578,94.5500030517578,93.24749755859376,93.25250244140624,93.0846710205078,103625600
20,AAPL,2020-07-29,93.75,95.2300033569336,93.7125015258789,95.04000091552734,94.86894989013672,90329200
21,AAPL,2020-07-30,94.1875,96.29750061035156,93.76750183105469,96.19000244140624,96.01688385009766,158130000
22,AAPL,2020-07-31,102.88500213623048,106.41500091552734,100.8249969482422,106.26000213623048,106.06875610351562,374336800
23,AAPL,2020-08-03,108.1999969482422,111.6374969482422,107.89250183105469,108.9375,108.74143981933594,308151200
24,AAPL,2020-08-04,109.13249969482422,110.79000091552734,108.3874969482422,109.66500091552734,109.4676284790039,173071600
25,AAPL,2020-08-05,109.37750244140624,110.39250183105469,108.89749908447266,110.0625,109.86441040039062,121992000
26,AAPL,2020-08-06,110.40499877929688,114.4124984741211,109.79750061035156,113.90249633789062,113.69750213623048,202428800
27,AAPL,2020-08-07,113.20500183105469,113.6750030517578,110.2925033569336,111.1125030517578,111.1125030517578,198045600
28,AAPL,2020-08-10,112.5999984741211,113.7750015258789,110.0,112.72750091552734,112.72750091552734,212403600
29,AAPL,2020-08-11,111.97000122070312,112.48249816894531,109.10749816894531,109.375,109.375,187902400
30,AAPL,2020-08-12,110.49749755859376,113.2750015258789,110.29750061035156,113.01000213623048,113.01000213623048,165944800
31,AAPL,2020-08-13,114.43000030517578,116.0425033569336,113.92749786376952,115.01000213623048,115.01000213623048,210082000
32,AAPL,2020-08-14,114.83000183105469,115.0,113.04499816894531,114.90750122070312,114.90750122070312,165565200
33,AAPL,2020-08-17,116.0625,116.0875015258789,113.9625015258789,114.60749816894531,114.60749816894531,119561600
